Date,Close
"1/1/2018, 23:58:00",8091.9
"2/1/2018, 23:58:00",8112.3
"3/1/2018, 23:58:00",8109.4
"4/1/2018, 23:58:00",8105.4
"5/1/2018, 23:58:00",8295
"8/1/2018, 23:58:00",8291
"9/1/2018, 23:58:00",8104.5
"10/1/2018, 23:58:00",8295
"11/1/2018, 23:58:00",8300
"12/1/2018, 23:58:00",8300
"13/1/2018, 23:58:00",8060
"15/1/2018, 23:58:00",8105.4
"16/1/2018, 23:58:00",8080.4
"17/1/2018, 23:58:00",8125.7
"18/1/2018, 23:58:00",8110.7
"19/1/2018, 23:58:00",8144.5
"20/1/2018, 23:58:00",8144.5
"22/1/2018, 23:58:00",8112.3
"23/1/2018, 23:58:00",8290
"24/1/2018, 23:58:00",8280
"25/1/2018, 23:58:00",8280
"26/1/2018, 23:58:00",8295
"29/1/2018, 23:58:00",8286
"30/1/2018, 23:58:00",8281
"31/1/2018, 23:58:00",8283
"1/2/2018, 23:58:00",8286
"2/2/2018, 23:58:00",8280
"5/2/2018, 23:58:00",8271
"6/2/2018, 23:58:00",8271
"7/2/2018, 23:58:00",8280
"8/2/2018, 23:58:00",8287
"9/2/2018, 23:58:00",8285
"12/2/2018, 23:58:00",8280
"13/2/2018, 23:58:00",8280
"14/2/2018, 23:58:00",8280
"15/2/2018, 23:58:00",8283
"16/2/2018, 23:58:00",8280
"19/2/2018, 23:58:00",8076
"20/2/2018, 23:58:00",8280
"21/2/2018, 23:58:00",8291
"22/2/2018, 23:58:00",8290
"23/2/2018, 23:58:00",8290
"24/2/2018, 23:58:00",8090.1
"25/2/2018, 23:58:00",8090.1
"26/2/2018, 23:58:00",8291
"27/2/2018, 23:58:00",8291
"28/2/2018, 23:58:00",8290
"1/3/2018, 23:58:00",8290
"2/3/2018, 23:58:00",8290
"5/3/2018, 23:58:00",8290
"6/3/2018, 23:58:00",8290
"7/3/2018, 23:58:00",8301
"8/3/2018, 23:58:00",8290
"9/3/2018, 23:58:00",8291
"12/3/2018, 23:58:00",8295
"13/3/2018, 23:58:00",8296
"14/3/2018, 23:58:00",8292
"15/3/2018, 23:58:00",8290
"16/3/2018, 23:58:00",8300
"19/3/2018, 23:58:00",8305
"20/3/2018, 23:58:00",8301
"21/3/2018, 23:58:00",8305
"22/3/2018, 23:58:00",8095
"23/3/2018, 23:58:00",8301
"24/3/2018, 23:58:00",8078.5
"26/3/2018, 23:58:00",8301
"27/3/2018, 23:58:00",8291
"28/3/2018, 23:58:00",8290
"29/3/2018, 23:58:00",8301
"30/3/2018, 23:58:00",8301
"1/4/2018, 23:58:00",8082.1
"2/4/2018, 23:58:00",8300
"3/4/2018, 23:58:00",8301
"4/4/2018, 23:58:00",8300
"5/4/2018, 23:58:00",8300
"6/4/2018, 23:58:00",8310
"9/4/2018, 23:58:00",8055.3
"10/4/2018, 23:58:00",8300
"11/4/2018, 23:58:00",8300
"12/4/2018, 23:58:00",8300
"13/4/2018, 23:58:00",8301
"16/4/2018, 23:58:00",8305
"17/4/2018, 23:58:00",8305
"18/4/2018, 23:58:00",8300
"19/4/2018, 23:58:00",8101.7
"20/4/2018, 23:58:00",8305
"21/4/2018, 23:58:00",8079.8
"23/4/2018, 23:58:00",8310
"24/4/2018, 23:58:00",8316
"25/4/2018, 23:58:00",8315
"26/4/2018, 23:58:00",8321
"27/4/2018, 23:58:00",8321
"30/4/2018, 23:58:00",8320
"1/5/2018, 23:58:00",8321
"2/5/2018, 23:58:00",8320
"3/5/2018, 23:58:00",8320
"4/5/2018, 23:58:00",8330
"5/5/2018, 23:58:00",8110
"7/5/2018, 23:58:00",8330
"8/5/2018, 23:58:00",8331
"9/5/2018, 23:58:00",8330
"10/5/2018, 23:58:00",8330
"11/5/2018, 23:58:00",8330
"13/5/2018, 23:58:00",8105.8
"14/5/2018, 23:58:00",8331
"15/5/2018, 23:58:00",8330
"16/5/2018, 23:58:00",8122.3
"17/5/2018, 23:58:00",8122.1
"18/5/2018, 23:58:00",8120.4
"19/5/2018, 23:58:00",8113.5
"21/5/2018, 23:58:00",8331
"22/5/2018, 23:58:00",8330
"23/5/2018, 23:58:00",8331
"24/5/2018, 23:58:00",8360
"25/5/2018, 23:58:00",8360
"28/5/2018, 23:58:00",8154.5
"29/5/2018, 23:58:00",8373
"30/5/2018, 23:58:00",8381
"31/5/2018, 23:58:00",8371
"1/6/2018, 23:58:00",8370
"2/6/2018, 23:58:00",8184.7
"4/6/2018, 23:58:00",8370
"5/6/2018, 23:58:00",8370
"6/6/2018, 23:58:00",8370
"7/6/2018, 23:58:00",8371
"8/6/2018, 23:58:00",8365
"9/6/2018, 23:58:00",8124.3
"11/6/2018, 23:58:00",8152
"12/6/2018, 23:58:00",8375
"13/6/2018, 23:58:00",8377
"14/6/2018, 23:58:00",8377
"15/6/2018, 23:58:00",8410
"18/6/2018, 23:58:00",8411
"19/6/2018, 23:58:00",8411
"20/6/2018, 23:58:00",8410
"21/6/2018, 23:58:00",8410
"22/6/2018, 23:58:00",8409
"25/6/2018, 23:58:00",8405
"26/6/2018, 23:58:00",8401
"27/6/2018, 23:58:00",8410
"28/6/2018, 23:58:00",8430
"29/6/2018, 23:58:00",8431
"2/7/2018, 23:58:00",8430
"3/7/2018, 23:58:00",8431
"4/7/2018, 23:58:00",8211.5
"5/7/2018, 23:58:00",8431
"6/7/2018, 23:58:00",8430
"7/7/2018, 23:58:00",8176.1
"9/7/2018, 23:58:00",8423
"10/7/2018, 23:58:00",8420
"11/7/2018, 23:58:00",8420
"12/7/2018, 23:58:00",8421
"13/7/2018, 23:58:00",8430
"16/7/2018, 23:58:00",8430
"17/7/2018, 23:58:00",8431
"18/7/2018, 23:58:00",8431
"19/7/2018, 23:58:00",8435
"20/7/2018, 23:58:00",8436
"21/7/2018, 23:58:00",8156.9
"22/7/2018, 23:58:00",8156.9
"23/7/2018, 23:58:00",8211.9
"24/7/2018, 23:58:00",8216.1
"25/7/2018, 23:58:00",8213
"26/7/2018, 23:58:00",8213.9
"27/7/2018, 23:58:00",8216.9
"30/7/2018, 23:58:00",8440
"31/7/2018, 23:58:00",8440
"1/8/2018, 23:58:00",8440
"2/8/2018, 23:58:00",8445
"3/8/2018, 23:58:00",8445
"6/8/2018, 23:58:00",8455
"7/8/2018, 23:58:00",8455
"8/8/2018, 23:58:00",8450
"9/8/2018, 23:58:00",8455
"10/8/2018, 23:58:00",8465
"13/8/2018, 23:58:00",8491
"14/8/2018, 23:58:00",8490
"15/8/2018, 23:58:00",8511
"16/8/2018, 23:58:00",8511
"17/8/2018, 23:58:00",8510
"20/8/2018, 23:58:00",8501
"21/8/2018, 23:58:00",8501
"22/8/2018, 23:58:00",8500
"23/8/2018, 23:58:00",8500
"24/8/2018, 23:58:00",8269.6
"27/8/2018, 23:58:00",8298.5
"28/8/2018, 23:58:00",8304.9
"29/8/2018, 23:58:00",8306.8
"30/8/2018, 23:58:00",8303.4
"31/8/2018, 23:58:00",8307.4
"3/9/2018, 23:58:00",8305.7
"4/9/2018, 23:58:00",8308.4
"5/9/2018, 23:58:00",8306.5
"6/9/2018, 23:58:00",8304.1
"7/9/2018, 23:58:00",8314.5
"10/9/2018, 23:58:00",8501
"11/9/2018, 23:58:00",8505
"12/9/2018, 23:58:00",8501
"13/9/2018, 23:58:00",8503
"14/9/2018, 23:58:00",8501
"17/9/2018, 23:58:00",8500
"18/9/2018, 23:58:00",8500
"19/9/2018, 23:58:00",8501
"20/9/2018, 23:58:00",8500
"21/9/2018, 23:58:00",8499
"22/9/2018, 23:58:00",8305.5
"24/9/2018, 23:58:00",8318.8
"25/9/2018, 23:58:00",8495
"26/9/2018, 23:58:00",8496
